epoch,learning_rate,training_total_loss,training_classification_loss,training_classifier_placeholder_loss,training_data_placeholder_loss,training_ordinary_accuracy,mean_mixup_coefficient,different_class_pair_rate,validation_loss,validation_accuracy
30,0.00037565505641757246,0.0327616008302853,0.013179605666664429,0.006067162632296624,0.13514832326539114,0.9996004971590909,0.5133428368082439,1.0,0.33317924983501435,0.9288
31,0.00034549150281252633,0.03982429634197615,0.014002953252532858,0.0066094939373380675,0.19211848939514972,0.9992453835227273,0.4849961844579825,1.0,0.2120424293756485,0.9448
32,0.00031593772365766105,0.04583500237971417,0.014868735473349014,0.0061633773518472235,0.248028888319492,0.9992897727272727,0.4897939066021619,1.0,0.4181289655923843,0.9268
33,0.00028711035421746355,0.029475793898613614,0.012104141933377832,0.006011357504493472,0.11360294212830592,0.9993785511363636,0.5109287244214845,1.0,0.29051839438676835,0.9346
34,0.0002591231629491422,0.026450696626191282,0.011721463323655453,0.005605560357005082,0.09123672732279044,0.9994229403409091,0.5022760814436796,1.0,0.2837522609114647,0.9356
35,0.00023208660251050145,0.022525410466848618,0.01067096129885282,0.005582226214094341,0.06272222876379435,0.9995561079545454,0.5049259071026675,1.0,0.3535629594564438,0.9306
36,0.00020610737385376337,0.02241680465125352,0.01082881123081527,0.0056133282897380095,0.05974665024868128,0.9992897727272727,0.5028111239133234,1.0,0.2783471401691437,0.9352
37,0.00018128800512565502,0.025794928784969008,0.010224251219452444,0.005537629877587527,0.10033047461183742,0.9995561079545454,0.5078405200567265,1.0,0.3065846849322319,0.9354
38,0.00015772644703565555,0.0241216602378038,0.012015856865962798,0.005467106184699911,0.06638697011195208,0.9996004971590909,0.49749509212349285,1.0,0.26533802094459535,0.9376
39,0.00013551568628929425,0.02371177486202214,0.010424330521015112,0.005669144519329579,0.07618299638323317,0.9993341619318182,0.4908960194760849,1.0,0.3286243286132812,0.932
40,0.00011474337861210535,0.017845880578864704,0.009203180554984348,0.0053776571711006745,0.03265042750651694,0.9995561079545454,0.5245062218957834,1.0,0.2849637539625168,0.9352
41,9.549150281252626e-05,0.017887064905318602,0.008416722544511273,0.005091240269724618,0.043791021045763046,0.9996892755681818,0.5245809899643064,1.0,0.3162599783182144,0.9332
42,7.783603724899252e-05,0.020031513984907757,0.008551730865623209,0.005255309059893162,0.06224474098681557,0.9996892755681818,0.48737521443664183,1.0,0.3501940660715103,0.9312
43,6.184665997806817e-05,0.015566098296072927,0.008331979114287109,0.005633489893542984,0.016006291621703316,0.99951171875,0.48231899832502345,1.0,0.33711685194969176,0.931
44,4.7586473766990294e-05,0.01844266179912004,0.007577750707489692,0.004984624731481414,0.05880286277864467,0.9997780539772727,0.5036996806897647,1.0,0.2784386563062668,0.9356
45,3.5111757055874305e-05,0.016453711278948256,0.007826506498862396,0.005024189805474386,0.036030148785688325,0.9996892755681818,0.5149603086458889,1.0,0.3169283558130264,0.9326
46,2.4471741852423218e-05,0.018190783336070705,0.008599603618759747,0.0050664588422726165,0.045247208364096216,0.9996448863636364,0.49142432618166576,1.0,0.32613474254608155,0.932
47,1.5708419435684507e-05,0.016808382353205656,0.008034499911115166,0.005096993702781302,0.036768886932722206,0.9996892755681818,0.47447283405662427,1.0,0.2932936508893967,0.9354
48,8.856374635655634e-06,0.016540088166948408,0.0086689264717279,0.005287539344201584,0.025836223069663076,0.9993341619318182,0.504941592815819,1.0,0.33018111934661865,0.9318
49,3.942649342761115e-06,0.018699704082047738,0.008912382931157481,0.005208694245084189,0.04578626835030842,0.9996448863636364,0.5057430586311966,1.0,0.3247923256397247,0.932
50,9.866357858642198e-07,0.016544650263809177,0.008224531533249485,0.0049469809819129296,0.03373137658292597,0.9997336647727273,0.4885768627493896,1.0,0.34156590132713316,0.9308
