group,dataset_index,unknown_class,predicted_known_index,predicted_known_class,mls_score,threshold
far,1781,sunflower,0,airplane,-9.40070915222168,-5.903560161590576
far,1428,clock,1,automobile,-9.37852954864502,-5.903560161590576
far,8994,keyboard,0,airplane,-9.338874816894531,-5.903560161590576
far,52,bottle,2,bird,-9.330703735351562,-5.903560161590576
far,5777,keyboard,0,airplane,-9.327569961547852,-5.903560161590576
far,4321,clock,9,truck,-9.309732437133789,-5.903560161590576
far,4683,bottle,3,cat,-9.302340507507324,-5.903560161590576
far,6558,mushroom,2,bird,-9.286276817321777,-5.903560161590576
far,6033,bowl,1,automobile,-9.27392292022705,-5.903560161590576
far,611,sunflower,2,bird,-9.248848915100098,-5.903560161590576
far,9186,wardrobe,9,truck,-9.24852180480957,-5.903560161590576
far,9149,wardrobe,9,truck,-9.220666885375977,-5.903560161590576
far,1696,bowl,3,cat,-9.196131706237793,-5.903560161590576
far,1944,wardrobe,9,truck,-9.179571151733398,-5.903560161590576
far,4785,sunflower,2,bird,-9.166455268859863,-5.903560161590576
far,9778,mushroom,2,bird,-9.14535903930664,-5.903560161590576
far,6079,bowl,5,dog,-9.140695571899414,-5.903560161590576
far,1586,clock,9,truck,-9.133392333984375,-5.903560161590576
far,8498,chair,2,bird,-9.102058410644531,-5.903560161590576
far,9775,sunflower,2,bird,-9.097582817077637,-5.903560161590576
far,806,bowl,6,frog,-9.095166206359863,-5.903560161590576
far,6943,chair,0,airplane,-9.090526580810547,-5.903560161590576
far,328,wardrobe,9,truck,-9.07262134552002,-5.903560161590576
far,3210,clock,1,automobile,-9.008190155029297,-5.903560161590576
far,9492,bowl,8,ship,-8.980154991149902,-5.903560161590576
far,4933,wardrobe,9,truck,-8.950366973876953,-5.903560161590576
far,5577,keyboard,6,frog,-8.947921752929688,-5.903560161590576
far,4334,bottle,3,cat,-8.938253402709961,-5.903560161590576
far,6423,wardrobe,9,truck,-8.911310195922852,-5.903560161590576
far,8572,clock,1,automobile,-8.909546852111816,-5.903560161590576
far,7483,mushroom,6,frog,-8.895425796508789,-5.903560161590576
far,8689,sunflower,5,dog,-8.879810333251953,-5.903560161590576
far,8736,sunflower,2,bird,-8.877591133117676,-5.903560161590576
far,6491,chair,0,airplane,-8.869222640991211,-5.903560161590576
far,3186,chair,0,airplane,-8.812126159667969,-5.903560161590576
far,6388,sunflower,2,bird,-8.810037612915039,-5.903560161590576
far,452,bowl,1,automobile,-8.808960914611816,-5.903560161590576
far,6472,bottle,8,ship,-8.76231575012207,-5.903560161590576
far,9561,bowl,6,frog,-8.75841999053955,-5.903560161590576
far,7224,clock,9,truck,-8.75407886505127,-5.903560161590576
far,3373,bowl,3,cat,-8.747450828552246,-5.903560161590576
far,953,mushroom,3,cat,-8.736968994140625,-5.903560161590576
far,6046,wardrobe,3,cat,-8.713665008544922,-5.903560161590576
far,7632,mushroom,6,frog,-8.706589698791504,-5.903560161590576
far,30,chair,0,airplane,-8.699089050292969,-5.903560161590576
far,1932,bottle,8,ship,-8.697224617004395,-5.903560161590576
far,4947,wardrobe,3,cat,-8.673322677612305,-5.903560161590576
far,4471,bowl,6,frog,-8.614421844482422,-5.903560161590576
far,9044,bottle,2,bird,-8.610894203186035,-5.903560161590576
far,3305,mushroom,6,frog,-8.608800888061523,-5.903560161590576
far,9303,clock,1,automobile,-8.588532447814941,-5.903560161590576
far,6298,keyboard,3,cat,-8.57955265045166,-5.903560161590576
far,3705,wardrobe,9,truck,-8.572976112365723,-5.903560161590576
far,2831,sunflower,6,frog,-8.54462718963623,-5.903560161590576
far,4466,wardrobe,9,truck,-8.5405855178833,-5.903560161590576
far,963,mushroom,4,deer,-8.518054962158203,-5.903560161590576
far,220,wardrobe,9,truck,-8.51501178741455,-5.903560161590576
far,8068,sunflower,6,frog,-8.493585586547852,-5.903560161590576
far,4704,clock,9,truck,-8.489532470703125,-5.903560161590576
far,3386,sunflower,3,cat,-8.487515449523926,-5.903560161590576
far,797,wardrobe,9,truck,-8.450850486755371,-5.903560161590576
far,194,wardrobe,3,cat,-8.446005821228027,-5.903560161590576
far,9307,wardrobe,3,cat,-8.441190719604492,-5.903560161590576
far,582,sunflower,2,bird,-8.432520866394043,-5.903560161590576
far,9103,mushroom,2,bird,-8.43106460571289,-5.903560161590576
far,3089,sunflower,5,dog,-8.430119514465332,-5.903560161590576
far,6565,bowl,6,frog,-8.401114463806152,-5.903560161590576
far,8616,sunflower,2,bird,-8.400130271911621,-5.903560161590576
far,5926,chair,0,airplane,-8.35307788848877,-5.903560161590576
far,9102,bowl,6,frog,-8.334967613220215,-5.903560161590576
far,9270,wardrobe,3,cat,-8.332056045532227,-5.903560161590576
far,588,bowl,8,ship,-8.31898307800293,-5.903560161590576
far,870,clock,0,airplane,-8.270269393920898,-5.903560161590576
far,6030,sunflower,2,bird,-8.27021598815918,-5.903560161590576
far,6907,keyboard,9,truck,-8.259468078613281,-5.903560161590576
far,4986,clock,9,truck,-8.257757186889648,-5.903560161590576
far,6543,keyboard,9,truck,-8.253950119018555,-5.903560161590576
far,3853,wardrobe,9,truck,-8.250689506530762,-5.903560161590576
far,8866,sunflower,2,bird,-8.248981475830078,-5.903560161590576
far,2797,bowl,3,cat,-8.230411529541016,-5.903560161590576
far,932,bottle,3,cat,-8.202424049377441,-5.903560161590576
far,4252,bowl,3,cat,-8.20074462890625,-5.903560161590576
far,7469,wardrobe,9,truck,-8.198888778686523,-5.903560161590576
far,8568,bowl,0,airplane,-8.188695907592773,-5.903560161590576
far,363,wardrobe,9,truck,-8.187671661376953,-5.903560161590576
far,788,sunflower,2,bird,-8.14992618560791,-5.903560161590576
far,1032,mushroom,2,bird,-8.133682250976562,-5.903560161590576
far,2684,chair,0,airplane,-8.113765716552734,-5.903560161590576
far,2302,bowl,6,frog,-8.02263355255127,-5.903560161590576
far,2670,bowl,4,deer,-8.021035194396973,-5.903560161590576
far,238,sunflower,2,bird,-8.0187349319458,-5.903560161590576
far,2055,keyboard,0,airplane,-8.018609046936035,-5.903560161590576
far,8889,wardrobe,3,cat,-8.015539169311523,-5.903560161590576
far,4982,mushroom,2,bird,-8.00564956665039,-5.903560161590576
far,3872,keyboard,0,airplane,-8.00357437133789,-5.903560161590576
far,3765,bowl,8,ship,-7.964821815490723,-5.903560161590576
far,8868,wardrobe,9,truck,-7.946223735809326,-5.903560161590576
far,5820,mushroom,2,bird,-7.943702220916748,-5.903560161590576
far,5633,keyboard,6,frog,-7.934438705444336,-5.903560161590576
far,1231,sunflower,2,bird,-7.9338483810424805,-5.903560161590576
far,2579,mushroom,2,bird,-7.917195796966553,-5.903560161590576
far,3952,bowl,5,dog,-7.911965847015381,-5.903560161590576
far,3282,clock,3,cat,-7.904763698577881,-5.903560161590576
far,6899,bottle,8,ship,-7.902405261993408,-5.903560161590576
far,3502,mushroom,6,frog,-7.8940887451171875,-5.903560161590576
far,4863,bowl,8,ship,-7.887639045715332,-5.903560161590576
far,5414,clock,3,cat,-7.862265586853027,-5.903560161590576
far,9681,sunflower,3,cat,-7.851094722747803,-5.903560161590576
far,3579,keyboard,0,airplane,-7.826472282409668,-5.903560161590576
far,3728,bowl,3,cat,-7.825640678405762,-5.903560161590576
far,2510,bottle,3,cat,-7.811710357666016,-5.903560161590576
far,3352,mushroom,2,bird,-7.808811187744141,-5.903560161590576
far,340,bottle,8,ship,-7.793257236480713,-5.903560161590576
far,8406,keyboard,0,airplane,-7.7705512046813965,-5.903560161590576
far,6490,clock,1,automobile,-7.765890598297119,-5.903560161590576
far,9997,mushroom,0,airplane,-7.765726089477539,-5.903560161590576
far,649,clock,9,truck,-7.74728536605835,-5.903560161590576
far,1052,keyboard,3,cat,-7.724477291107178,-5.903560161590576
far,1865,bowl,3,cat,-7.724153995513916,-5.903560161590576
far,4159,chair,2,bird,-7.710819244384766,-5.903560161590576
far,2740,sunflower,2,bird,-7.701213359832764,-5.903560161590576
far,7933,clock,9,truck,-7.697474956512451,-5.903560161590576
far,7499,chair,9,truck,-7.689579486846924,-5.903560161590576
far,2432,wardrobe,9,truck,-7.666324138641357,-5.903560161590576
far,4804,keyboard,7,horse,-7.661316394805908,-5.903560161590576
far,2715,wardrobe,9,truck,-7.649794101715088,-5.903560161590576
far,4214,chair,0,airplane,-7.64621114730835,-5.903560161590576
far,4818,bottle,9,truck,-7.646084785461426,-5.903560161590576
far,1002,wardrobe,3,cat,-7.642706871032715,-5.903560161590576
far,6112,keyboard,3,cat,-7.6403350830078125,-5.903560161590576
far,8531,wardrobe,9,truck,-7.628732681274414,-5.903560161590576
far,8829,mushroom,3,cat,-7.597340106964111,-5.903560161590576
far,4010,chair,0,airplane,-7.595493793487549,-5.903560161590576
far,3293,chair,0,airplane,-7.594860553741455,-5.903560161590576
far,318,bowl,3,cat,-7.581958770751953,-5.903560161590576
far,1454,mushroom,2,bird,-7.571911334991455,-5.903560161590576
far,180,keyboard,0,airplane,-7.5502800941467285,-5.903560161590576
far,4830,bowl,1,automobile,-7.526491641998291,-5.903560161590576
far,3317,chair,0,airplane,-7.523025035858154,-5.903560161590576
far,7828,wardrobe,9,truck,-7.521390914916992,-5.903560161590576
far,1434,chair,0,airplane,-7.517241954803467,-5.903560161590576
far,4245,wardrobe,3,cat,-7.48763370513916,-5.903560161590576
far,4034,wardrobe,9,truck,-7.474716663360596,-5.903560161590576
far,5428,wardrobe,9,truck,-7.430906772613525,-5.903560161590576
far,3337,mushroom,2,bird,-7.4280171394348145,-5.903560161590576
far,2620,mushroom,2,bird,-7.411098003387451,-5.903560161590576
far,9755,bottle,6,frog,-7.399625778198242,-5.903560161590576
far,9431,sunflower,5,dog,-7.378383636474609,-5.903560161590576
far,1508,wardrobe,9,truck,-7.3568501472473145,-5.903560161590576
far,647,wardrobe,3,cat,-7.354767799377441,-5.903560161590576
far,1982,clock,1,automobile,-7.352168560028076,-5.903560161590576
far,4174,clock,3,cat,-7.34406852722168,-5.903560161590576
far,2037,keyboard,3,cat,-7.343862056732178,-5.903560161590576
far,5573,sunflower,6,frog,-7.338255405426025,-5.903560161590576
far,3770,sunflower,2,bird,-7.3188395500183105,-5.903560161590576
far,6777,keyboard,9,truck,-7.310600757598877,-5.903560161590576
far,7181,mushroom,6,frog,-7.30196475982666,-5.903560161590576
far,6602,bottle,8,ship,-7.289646625518799,-5.903560161590576
far,1362,wardrobe,3,cat,-7.273056983947754,-5.903560161590576
far,1484,mushroom,2,bird,-7.272009372711182,-5.903560161590576
far,6845,sunflower,2,bird,-7.264387607574463,-5.903560161590576
far,2545,sunflower,3,cat,-7.264200210571289,-5.903560161590576
far,8470,sunflower,2,bird,-7.2563958168029785,-5.903560161590576
far,2656,bowl,3,cat,-7.254611968994141,-5.903560161590576
far,7787,mushroom,2,bird,-7.225327014923096,-5.903560161590576
far,8312,keyboard,0,airplane,-7.224235534667969,-5.903560161590576
far,7959,clock,0,airplane,-7.207432270050049,-5.903560161590576
far,4981,bottle,8,ship,-7.200271129608154,-5.903560161590576
far,6161,wardrobe,9,truck,-7.198624134063721,-5.903560161590576
far,1495,keyboard,3,cat,-7.196188926696777,-5.903560161590576
far,7192,chair,3,cat,-7.152362823486328,-5.903560161590576
far,439,bowl,3,cat,-7.143799304962158,-5.903560161590576
far,6804,bowl,3,cat,-7.142889499664307,-5.903560161590576
far,5082,wardrobe,9,truck,-7.1291913986206055,-5.903560161590576
far,9736,keyboard,2,bird,-7.1282525062561035,-5.903560161590576
far,2576,chair,9,truck,-7.124089241027832,-5.903560161590576
far,8576,wardrobe,3,cat,-7.1239914894104,-5.903560161590576
far,7654,keyboard,9,truck,-7.095836639404297,-5.903560161590576
far,771,keyboard,7,horse,-7.091468334197998,-5.903560161590576
far,6843,sunflower,6,frog,-7.091377258300781,-5.903560161590576
far,7275,clock,1,automobile,-7.086876392364502,-5.903560161590576
far,1318,bottle,9,truck,-7.082213401794434,-5.903560161590576
far,249,keyboard,0,airplane,-7.077598571777344,-5.903560161590576
far,8378,sunflower,2,bird,-7.071821689605713,-5.903560161590576
far,7868,keyboard,0,airplane,-7.071005344390869,-5.903560161590576
far,2822,bottle,8,ship,-7.065311431884766,-5.903560161590576
far,3015,wardrobe,3,cat,-7.057921886444092,-5.903560161590576
far,5845,clock,0,airplane,-7.040763854980469,-5.903560161590576
far,9209,sunflower,2,bird,-7.033853530883789,-5.903560161590576
far,8740,wardrobe,3,cat,-7.022954940795898,-5.903560161590576
far,378,wardrobe,3,cat,-7.020847320556641,-5.903560161590576
far,2936,clock,3,cat,-7.020406723022461,-5.903560161590576
far,8579,keyboard,3,cat,-7.020224571228027,-5.903560161590576
far,6774,clock,2,bird,-7.009063243865967,-5.903560161590576
far,6419,keyboard,0,airplane,-7.005731582641602,-5.903560161590576
far,1470,wardrobe,3,cat,-7.0053277015686035,-5.903560161590576
far,7604,wardrobe,9,truck,-6.995352268218994,-5.903560161590576
far,823,clock,2,bird,-6.994892597198486,-5.903560161590576
far,1818,sunflower,2,bird,-6.993375301361084,-5.903560161590576
far,6413,wardrobe,9,truck,-6.989389419555664,-5.903560161590576
far,9711,sunflower,2,bird,-6.982930660247803,-5.903560161590576
far,1514,bottle,8,ship,-6.965607166290283,-5.903560161590576
far,4186,chair,0,airplane,-6.95054817199707,-5.903560161590576
far,3683,clock,3,cat,-6.950410842895508,-5.903560161590576
far,7012,bottle,3,cat,-6.933657169342041,-5.903560161590576
far,4475,clock,3,cat,-6.931726932525635,-5.903560161590576
far,2200,mushroom,2,bird,-6.917627811431885,-5.903560161590576
far,8549,mushroom,6,frog,-6.915482997894287,-5.903560161590576
far,3298,keyboard,0,airplane,-6.911563396453857,-5.903560161590576
far,8004,bowl,3,cat,-6.899291038513184,-5.903560161590576
far,2937,mushroom,2,bird,-6.856217384338379,-5.903560161590576
far,157,chair,0,airplane,-6.8492751121521,-5.903560161590576
far,5603,chair,0,airplane,-6.848087787628174,-5.903560161590576
far,2729,keyboard,9,truck,-6.847618103027344,-5.903560161590576
far,1415,wardrobe,9,truck,-6.829471588134766,-5.903560161590576
far,6687,sunflower,2,bird,-6.822282314300537,-5.903560161590576
far,2300,bowl,0,airplane,-6.817932605743408,-5.903560161590576
far,562,chair,9,truck,-6.817292213439941,-5.903560161590576
far,4171,wardrobe,3,cat,-6.805505752563477,-5.903560161590576
far,4325,bottle,1,automobile,-6.792304515838623,-5.903560161590576
far,8707,mushroom,2,bird,-6.784470081329346,-5.903560161590576
far,9533,clock,2,bird,-6.775417804718018,-5.903560161590576
far,9920,sunflower,3,cat,-6.773024559020996,-5.903560161590576
far,4668,chair,0,airplane,-6.766120910644531,-5.903560161590576
far,3730,bowl,3,cat,-6.741064548492432,-5.903560161590576
far,997,bottle,8,ship,-6.730742931365967,-5.903560161590576
far,8804,wardrobe,3,cat,-6.721430778503418,-5.903560161590576
far,5646,mushroom,2,bird,-6.71906042098999,-5.903560161590576
far,6245,chair,0,airplane,-6.7107038497924805,-5.903560161590576
far,2963,bottle,9,truck,-6.709012508392334,-5.903560161590576
far,2965,chair,0,airplane,-6.708419322967529,-5.903560161590576
far,2980,mushroom,2,bird,-6.70779275894165,-5.903560161590576
far,6131,keyboard,9,truck,-6.707594394683838,-5.903560161590576
far,7694,wardrobe,3,cat,-6.705924987792969,-5.903560161590576
far,7437,wardrobe,3,cat,-6.691537380218506,-5.903560161590576
far,3906,bottle,8,ship,-6.687504291534424,-5.903560161590576
far,3203,chair,0,airplane,-6.676167011260986,-5.903560161590576
far,1652,chair,0,airplane,-6.666520118713379,-5.903560161590576
far,5686,bottle,3,cat,-6.665319442749023,-5.903560161590576
far,1641,wardrobe,9,truck,-6.662567615509033,-5.903560161590576
far,6269,clock,3,cat,-6.654881477355957,-5.903560161590576
far,2332,mushroom,2,bird,-6.647843837738037,-5.903560161590576
far,7607,wardrobe,9,truck,-6.606388568878174,-5.903560161590576
far,1525,chair,0,airplane,-6.604136943817139,-5.903560161590576
far,7345,bowl,8,ship,-6.588622570037842,-5.903560161590576
far,7982,chair,3,cat,-6.586986541748047,-5.903560161590576
far,2038,sunflower,9,truck,-6.58600378036499,-5.903560161590576
far,6981,clock,8,ship,-6.576289176940918,-5.903560161590576
far,4734,wardrobe,3,cat,-6.565237045288086,-5.903560161590576
far,6152,mushroom,4,deer,-6.5628204345703125,-5.903560161590576
far,3053,wardrobe,9,truck,-6.528380870819092,-5.903560161590576
far,1560,clock,3,cat,-6.4946608543396,-5.903560161590576
far,5083,bowl,5,dog,-6.482221603393555,-5.903560161590576
far,6729,mushroom,2,bird,-6.474864482879639,-5.903560161590576
far,5981,bottle,3,cat,-6.472184181213379,-5.903560161590576
far,8644,bottle,6,frog,-6.469934463500977,-5.903560161590576
far,7776,sunflower,2,bird,-6.452891826629639,-5.903560161590576
far,7428,bowl,8,ship,-6.4528703689575195,-5.903560161590576
far,3742,mushroom,3,cat,-6.452221870422363,-5.903560161590576
far,9056,chair,0,airplane,-6.445167064666748,-5.903560161590576
far,2108,chair,0,airplane,-6.431543827056885,-5.903560161590576
far,4910,wardrobe,3,cat,-6.40850830078125,-5.903560161590576
far,4631,wardrobe,3,cat,-6.407639503479004,-5.903560161590576
far,7259,bottle,9,truck,-6.405962944030762,-5.903560161590576
far,9558,clock,1,automobile,-6.402801990509033,-5.903560161590576
far,8472,keyboard,0,airplane,-6.373300552368164,-5.903560161590576
far,865,bowl,3,cat,-6.3678083419799805,-5.903560161590576
far,8036,clock,9,truck,-6.355045795440674,-5.903560161590576
far,8785,sunflower,5,dog,-6.353344917297363,-5.903560161590576
far,4031,wardrobe,9,truck,-6.35207462310791,-5.903560161590576
far,3409,chair,0,airplane,-6.333488941192627,-5.903560161590576
far,5768,clock,3,cat,-6.332030773162842,-5.903560161590576
far,5333,wardrobe,9,truck,-6.315210819244385,-5.903560161590576
far,3232,bottle,8,ship,-6.291671276092529,-5.903560161590576
far,1875,clock,5,dog,-6.283675193786621,-5.903560161590576
far,1927,clock,9,truck,-6.282554626464844,-5.903560161590576
far,2005,mushroom,0,airplane,-6.279993534088135,-5.903560161590576
far,6089,bottle,8,ship,-6.259401798248291,-5.903560161590576
far,7785,mushroom,5,dog,-6.257839202880859,-5.903560161590576
far,1130,bottle,9,truck,-6.248873710632324,-5.903560161590576
far,9052,bottle,9,truck,-6.232702255249023,-5.903560161590576
far,6783,wardrobe,9,truck,-6.227986812591553,-5.903560161590576
far,4259,chair,0,airplane,-6.225439548492432,-5.903560161590576
far,6863,wardrobe,3,cat,-6.2204108238220215,-5.903560161590576
far,7989,sunflower,2,bird,-6.2161359786987305,-5.903560161590576
far,4206,clock,1,automobile,-6.206515789031982,-5.903560161590576
far,3863,bowl,8,ship,-6.2020487785339355,-5.903560161590576
far,8881,sunflower,5,dog,-6.19775390625,-5.903560161590576
far,2134,wardrobe,9,truck,-6.1930012702941895,-5.903560161590576
far,9262,keyboard,0,airplane,-6.189863681793213,-5.903560161590576
far,2811,sunflower,6,frog,-6.1885576248168945,-5.903560161590576
far,9967,bottle,5,dog,-6.17072868347168,-5.903560161590576
far,9433,sunflower,4,deer,-6.162988185882568,-5.903560161590576
far,1789,chair,2,bird,-6.160295486450195,-5.903560161590576
far,5810,bottle,8,ship,-6.159478664398193,-5.903560161590576
far,3787,wardrobe,3,cat,-6.15730094909668,-5.903560161590576
far,9766,keyboard,3,cat,-6.153146743774414,-5.903560161590576
far,4382,wardrobe,3,cat,-6.149243354797363,-5.903560161590576
far,2152,chair,2,bird,-6.148647785186768,-5.903560161590576
far,8788,mushroom,2,bird,-6.139934539794922,-5.903560161590576
far,7104,mushroom,5,dog,-6.125969409942627,-5.903560161590576
far,874,bowl,1,automobile,-6.124744415283203,-5.903560161590576
far,1175,mushroom,5,dog,-6.123572826385498,-5.903560161590576
far,8317,bottle,3,cat,-6.1163787841796875,-5.903560161590576
far,3378,wardrobe,3,cat,-6.106477737426758,-5.903560161590576
far,6734,keyboard,9,truck,-6.104789733886719,-5.903560161590576
far,880,chair,3,cat,-6.100439071655273,-5.903560161590576
far,8666,chair,2,bird,-6.098857879638672,-5.903560161590576
far,3039,mushroom,6,frog,-6.098045349121094,-5.903560161590576
far,1909,wardrobe,3,cat,-6.097667217254639,-5.903560161590576
far,1930,clock,0,airplane,-6.091022968292236,-5.903560161590576
far,8812,bottle,1,automobile,-6.090686798095703,-5.903560161590576
far,6809,wardrobe,3,cat,-6.081543445587158,-5.903560161590576
far,7060,mushroom,6,frog,-6.073380470275879,-5.903560161590576
far,3350,bottle,9,truck,-6.062835216522217,-5.903560161590576
far,734,wardrobe,3,cat,-6.057930946350098,-5.903560161590576
far,786,clock,1,automobile,-6.050929069519043,-5.903560161590576
far,9857,bottle,9,truck,-6.044821739196777,-5.903560161590576
far,2189,clock,6,frog,-6.04481315612793,-5.903560161590576
far,6965,mushroom,3,cat,-6.040852069854736,-5.903560161590576
far,9089,chair,0,airplane,-6.036947727203369,-5.903560161590576
far,3806,wardrobe,3,cat,-6.0321044921875,-5.903560161590576
far,4800,keyboard,3,cat,-6.029696464538574,-5.903560161590576
far,1760,mushroom,2,bird,-6.0004706382751465,-5.903560161590576
far,1610,chair,3,cat,-5.974009990692139,-5.903560161590576
far,5666,wardrobe,3,cat,-5.973674774169922,-5.903560161590576
far,2989,sunflower,5,dog,-5.963647842407227,-5.903560161590576
far,2428,bottle,3,cat,-5.963089942932129,-5.903560161590576
far,3962,mushroom,3,cat,-5.9625349044799805,-5.903560161590576
far,2213,clock,3,cat,-5.957336902618408,-5.903560161590576
far,3149,wardrobe,9,truck,-5.955910682678223,-5.903560161590576
far,6215,mushroom,6,frog,-5.945287704467773,-5.903560161590576
far,2790,bowl,0,airplane,-5.941020488739014,-5.903560161590576
far,7406,bottle,2,bird,-5.933780193328857,-5.903560161590576
far,5643,wardrobe,3,cat,-5.921225547790527,-5.903560161590576
near,7133,bus,9,truck,-11.826656341552734,-5.903560161590576
near,6116,bus,9,truck,-11.735547065734863,-5.903560161590576
near,2064,wolf,5,dog,-11.731189727783203,-5.903560161590576
near,4316,pickup_truck,9,truck,-11.55223274230957,-5.903560161590576
near,8731,fox,3,cat,-11.3674955368042,-5.903560161590576
near,4234,camel,4,deer,-11.356701850891113,-5.903560161590576
near,2832,bus,9,truck,-11.336137771606445,-5.903560161590576
near,5853,bus,9,truck,-11.26394271850586,-5.903560161590576
near,5762,camel,2,bird,-11.199873924255371,-5.903560161590576
near,959,fox,5,dog,-11.179773330688477,-5.903560161590576
near,9081,pickup_truck,1,automobile,-11.127338409423828,-5.903560161590576
near,1662,bus,9,truck,-11.101360321044922,-5.903560161590576
near,3644,fox,4,deer,-11.015135765075684,-5.903560161590576
near,1034,bus,9,truck,-11.008674621582031,-5.903560161590576
near,4506,pickup_truck,1,automobile,-10.96977710723877,-5.903560161590576
near,5748,bus,9,truck,-10.956260681152344,-5.903560161590576
near,6339,bus,9,truck,-10.920534133911133,-5.903560161590576
near,9232,bus,9,truck,-10.844902038574219,-5.903560161590576
near,5078,wolf,5,dog,-10.674673080444336,-5.903560161590576
near,4296,bus,9,truck,-10.672616004943848,-5.903560161590576
near,1060,camel,7,horse,-10.661347389221191,-5.903560161590576
near,7658,pickup_truck,1,automobile,-10.655458450317383,-5.903560161590576
near,7389,pickup_truck,1,automobile,-10.637807846069336,-5.903560161590576
near,5654,bus,1,automobile,-10.632397651672363,-5.903560161590576
near,4173,bus,9,truck,-10.630447387695312,-5.903560161590576
near,5201,bus,9,truck,-10.625602722167969,-5.903560161590576
near,5163,bus,9,truck,-10.618890762329102,-5.903560161590576
near,3538,wolf,5,dog,-10.612488746643066,-5.903560161590576
near,9261,leopard,6,frog,-10.603795051574707,-5.903560161590576
near,1478,bus,9,truck,-10.573322296142578,-5.903560161590576
near,4515,pickup_truck,1,automobile,-10.539490699768066,-5.903560161590576
near,766,bus,9,truck,-10.52696418762207,-5.903560161590576
near,3755,bus,9,truck,-10.496696472167969,-5.903560161590576
near,7812,bus,9,truck,-10.483588218688965,-5.903560161590576
near,2719,bus,9,truck,-10.469598770141602,-5.903560161590576
near,5025,tractor,9,truck,-10.45785903930664,-5.903560161590576
near,1882,camel,5,dog,-10.451665878295898,-5.903560161590576
near,8405,fox,4,deer,-10.446356773376465,-5.903560161590576
near,8085,bus,9,truck,-10.38564395904541,-5.903560161590576
near,3026,bus,9,truck,-10.37670612335205,-5.903560161590576
near,7980,wolf,5,dog,-10.361250877380371,-5.903560161590576
near,6163,fox,4,deer,-10.343035697937012,-5.903560161590576
near,193,bus,9,truck,-10.342771530151367,-5.903560161590576
near,8655,bus,9,truck,-10.326674461364746,-5.903560161590576
near,255,wolf,3,cat,-10.322195053100586,-5.903560161590576
near,6653,pickup_truck,1,automobile,-10.31524658203125,-5.903560161590576
near,4971,leopard,3,cat,-10.286280632019043,-5.903560161590576
near,1271,bus,9,truck,-10.284221649169922,-5.903560161590576
near,3197,bus,9,truck,-10.227228164672852,-5.903560161590576
near,4185,bus,9,truck,-10.145816802978516,-5.903560161590576
near,8143,camel,3,cat,-10.135958671569824,-5.903560161590576
near,9835,bus,9,truck,-10.133584976196289,-5.903560161590576
near,94,bus,9,truck,-10.119524955749512,-5.903560161590576
near,4663,tractor,9,truck,-10.070035934448242,-5.903560161590576
near,6712,bus,9,truck,-10.049973487854004,-5.903560161590576
near,8324,leopard,3,cat,-10.045222282409668,-5.903560161590576
near,9388,pickup_truck,1,automobile,-10.044621467590332,-5.903560161590576
near,4335,pickup_truck,9,truck,-10.040762901306152,-5.903560161590576
near,6418,camel,4,deer,-10.040026664733887,-5.903560161590576
